internal_sku,squarespace_product,squarespace_variant,squarespace_sku,quickbooks_item,tannage,color,weight,product_type
VIR-SMO-45,Virgilio • Smoked Matte,Fuxia - 4-5 oz (1.6-2 mm),SQ8768228,Smoked Matte  Alloro 4.5-5 oz,Smoked Matte,,4-5,full_hide
HOR-PRD-STE-45,Horween • Predator,Steel - 4-5oz,SQ3441061,Predator Steel 4-5 oz,Predator,Steel,4-5,full_hide
HOR-HF-ESP,Horween • Pinnacle Double Horsefronts,Espresso,SQ2262645,,,Espresso,,horsefront
HOR-DRB-OLD-56,Horween • Derby,Olde English - 5-6 oz (2.0 –  2.4 mm),SQ5822236,Derby Olde English 5-6 oz,Derby,Olde English,5-6,full_hide
CFS-SMP,C.F. Stead  Swatch Books,Doeskin,SQ0312892,,,,,sample_book
HOR-SMP-CHX,Horween Swatch Books,Chromexcel,SQ9121020,,Chromexcel,,,sample_book
HOR-SMP-LAT,Horween Swatch Books,Illini Latigo,SQ3355319,,Latigo,,,sample_book
HOR-SMP-ESX,Horween Swatch Books,Essex,SQ6623519,,Essex,,,sample_book
HOR-SMP-LAT,Horween Swatch Books,Latigo,SQ9866062,,Latigo,,,sample_book
VIR-SMP-VAC,Virgilio Swatch Books,Vachetta,SQ2702441,,Vachetta,,,sample_book
VIR-SMP-VAC,Virgilio Swatch Books,Vachetta Box,SQ8097175,,Vachetta,,,sample_book
HOR-PNL-DRB-NAT-34,Horween Derby Leather Panels,2’ Panel (12”x24”) - Natural - 3-4 oz (1.2-1.6 mm),SQ6529218,Panel Derby Natural 3.5-4 oz,Derby,Natural,3-4,panel
HOR-DRB-BLK-45,Horween • Derby,Black - 4-5 oz (1.6 – 2 mm),SQ4950740,Derby Black 4-5 oz,Derby,Black,4-5,full_hide
HOR-CHX-BUR-56,Horween • Chromexcel®,Burgundy - 5-6 oz (2.0 –  2.4 mm),SQ3348808,Chrxl #5872 Burgundy 5-6 oz,Chromexcel,Burgundy,5-6,full_hide
HOR,Horween • Basketball,,SQ0699788,,,,,full_hide
ACC,30mm Black Cordovan Belt,Size 32 - Increase pant size by 2 for belt size - Silver,SQ2785369,,,,,accessory
ACC,30mm Color 8 Cordovan Belt,Size 34 - Increase Pant Size by 2 for Belt Size - Silver,SQ3037962,,,,,accessory
ACC,32mm Color 8 Cordovan Belt,Size 34 - Increase Pant Size by 2 for Belt Size - Brass,SQ1512920,,,,,accessory
TUS-CHE,Tusting & Burnett • Sokoto Bookbinding,Chestnut,SQ5877255,,,Chestnut,,full_hide
WAL-BUT-555,Conceria Walpier • Buttero,Resin - Foresta - 5-5.5 oz (2-2.2 mm),SQ1144525,Buttero #100 Black (Res) 5-5.5,Buttero,,5-5.5,full_hide
HOR-STR,Horween • Russet Horsehide Strips,Hard Rolled Strips - 9+ oz,SQ6941548,,,,,strips
HOR-DRB-NAT-56,Horween • Derby,Natural - 5-6 oz (2.0 –  2.4 mm),SQ8150891,Derby Natural 5-6 oz,Derby,Natural,5-6,full_hide
BLK,Calf Lining,Black,SQ8760515,,,Black,,full_hide
HOR-CHX-NAT-45,Horween • Chromexcel®,Natural - 4-5 oz (1.6 – 2 mm),SQ4368776,*Chrxl Natural 4-5 oz,Chromexcel,Natural,4-5,full_hide
HOR-DUB-OLD-34,Horween • Dublin,Olde English - 3-4 oz (1.2-1.6 mm),SQ4735707,Dublin Olde English 3.5-4 oz,Dublin,Olde English,3-4,full_hide
HOR-PNL-DUB-NUT-56,Horween Dublin Leather Panels,2’ Panel (12”x24”) - Brown Nut - 5-6 oz (2-2.4 mm),SQ6855818,Panel Dublin Brown Nut 5-6 oz,Dublin,Brown Nut,5-6,panel
HOR-PNL-DRB-NUT-34,Horween Derby Leather Panels,2’ Panel (12”x24”) - Brown Nut - 3-4 oz (1.2-1.6 mm),SQ5914095,Panel Derby Brown Nut 3.5-4 oz,Derby,Brown Nut,3-4,panel
HOR-DRB-COB-45,Horween • Derby,Cobalt Blue - 4-5 oz (1.6 – 2 mm),SQ8608305,Derby Cobalt Blue 4-5 oz,Derby,Cobalt Blue,4-5,full_hide
WAL-BUT-BRN-555,Conceria Walpier • Buttero,Resin - #2 Brown - 5-5.5 oz (2-2.2 mm),SQ8750137,Buttero #2 Brown (Resin) 5-5.5,Buttero,Brown,5-5.5,full_hide
WAL-BUT-COG-555,Conceria Walpier • Buttero,No Resin - #23 Cognac - 5-5.5 oz (2-2.2 mm),SQ7863743,Buttero #23 Cognac (Res) 5-5.5,Buttero,Cognac,5-5.5,full_hide
WAL-BUT-BLK-555,Conceria Walpier • Buttero,No Resin - Black - 5-5.5 oz (2-2.2 mm),SQ4462158,Buttero #100 Black (Res) 5-5.5,Buttero,Black,5-5.5,full_hide
WAL-BUT-GRE-555,Conceria Walpier • Buttero,No Resin - #11 Green - 5-5.5 oz (2-2.2 mm),SQ6256312,Buttero #11 Green (Resin) 5-5.5,Buttero,Green,5-5.5,full_hide
HOR-PNL-DUB-ENG-34,Horween Dublin Leather Panels,2’ Panel (12”x24”) - English Tan - 3-4 oz (1.2-1.6 mm),SQ1391558,Panel Dublin English T 3.5-4 oz,Dublin,English Tan,3-4,panel
HOR-PNL-CHX-GRN-34,Horween Chromexcel® Leather Panels,"2' Panel (12""x24"") - Greener Pastures - 3-4 oz (1.2-1.6 mm)",SQ3562962,Panel Chrxl Greener P 3.5-4 oz,Chromexcel,Greener Pastures,3-4,panel
HOR-PNL-CHX-NAT-34,Horween Chromexcel® Leather Panels,"2' Panel (12""x24"") - Natural - 3-4 oz (1.2-1.6 mm)",SQ6050395,Panel Chrxl Natural 3.5-4 oz,Chromexcel,Natural,3-4,panel
HOR-PNL-DUB-LIG-34,Horween Dublin Leather Panels,1’ Panel (12”x12”) - Light Natural - 3-4 oz (1.2-1.6 mm),SQ7275452,,Dublin,Light Natural,3-4,panel
HOR-PNL-CHX-BRN-34,Horween Chromexcel® Leather Panels,"2' Panel (12""x24"") - Brown - 3-4 oz (1.2-1.6 mm)",SQ2065609,Panel Chrxl Brown 3.5-4 oz,Chromexcel,Brown,3-4,panel
SPL-SMP,Splenda Swatch Books,Kansas,SQ1998217,,,,,sample_book
ACC,Saphir • Pâte de Luxe Wax Polish,Neutral,SQ0172050,,,,,accessory
UNKNOWN,Calf Lining,Faggio,SQ0587677,,,,,full_hide
HOR-HF-CHX-BLK,Horween • Chromexcel® Double Horsefronts,Black,SQ6005130,DHF Chrxl Black,Chromexcel,Black,,horsefront
HOR-HF-CHX-NAT,Horween • Chromexcel® Double Horsefronts,Natural,SQ4452474,DHF Chrxl Natural,Chromexcel,Natural,,horsefront
PNL,Mystery Leather Panels,2’ Panel (12”x24”),SQ5349608,,,,,panel
HOR,Horween • Football,8064 UPH Football - NO TACK,SQ4846780,,,,,full_hide
HOR-PNL-DUB-BLK-34,Horween Dublin Leather Panels,1’ Panel (12”x12”) - Black - 3-4 oz (1.2-1.6 mm),SQ9639473,Panel Dublin Black 3.5-4 oz,Dublin,Black,3-4,panel
HOR-DRB-NAT-34,Horween • Derby,Natural - 3-4 oz (1.2-1.6 mm),SQ5651903,Derby Natural 3.5-4 oz,Derby,Natural,3-4,full_hide
HOR-DRB-LIG-45,Horween • Derby,Light Natural - 4-5 oz (1.6 – 2 mm),SQ3906175,Derby Light Natural 4-5 oz,Derby,Light Natural,4-5,full_hide
VIR-MAR-COB-45,Virgilio • Margot,Cobalto - 4-5 oz (1.6-2 mm),SQ4294532,Margot Cobalto 4.5-5 oz,Margot,Cobalto,4-5,full_hide
TEM-SMP-ELB,Tempesti Swatch Books,Elbamatt Liscio Lux,SQ5698877,,Elbamatt,,,sample_book
HOR-CHX-INK-56,Horween • Cavalier Chromexcel®,Ink - 5-6 oz (2-2.4 mm),SQ8381781,,Chromexcel,Ink,5-6,full_hide
TEM-ELB-455,Tempesti • Elbamatt Liscio Lux,Viola - 1.8 - 2.0 (4.5-5 oz),SQ7678622,Elbamatt Liscio Ambra 4.5-5 oz,Elbamatt,,4.5-5,full_hide
HOR-STR-CHX-COL,Horween • Chromexcel® Strips,Color 8,SQ9547389,Horsebutt Strips Chrxl Color #8,Chromexcel,Color 8,,strips
WAL-BUT-OLV-335,Conceria Walpier • Buttero,Resin - #19 Olive - 3-3.5 oz (1.2-1.4 mm),SQ6008289,Buttero #19 Olive (Resin) 3-3.5,Buttero,Olive,3-3.5,full_hide
ACC,Saphir • Nappa Balm,,SQ3818832,,,,,accessory
HOR-DUB-OLD-56,Horween • Dublin,Olde English - 5-6 oz (2.0 –  2.4 mm),SQ4044125,Dublin Olde English 5-6 oz,Dublin,Olde English,5-6,full_hide
HOR-CHX-LON-45,Horween • Cavalier Chromexcel®,London Bus Red - 4-5 oz (1.6-2 mm),SQ6450328,,Chromexcel,London Bus Red,4-5,full_hide
WAL-BUT-555,Conceria Walpier • Buttero,No Resin - #102 Blue - 5-5.5 oz (2-2.2 mm),SQ7421840,Buttero #100 Black (Res) 5-5.5,Buttero,,5-5.5,full_hide
HOR-DUB-BLK-45,Horween • Dublin,Black - 4-5 oz (1.6 – 2 mm),SQ1312341,*Black Dublin 4-4.5 oz,Dublin,Black,4-5,full_hide
